ID,Theme,Title,Level,Skills,Est,Business context,Approach (hint),Expected shape,Common mistakes
A1,A — Revenue / GMV trending,"GMV theo tuần 3 tháng qua, tuần nào cao/thấp nhất?",L1,"`DATE_TRUNC`, `SUM`, `GROUP BY`, `ORDER BY`",10 phút,"GMV (Gross Merchandise Value) là chỉ số top-line của sàn. Theo tuần cho thấy pattern ổn định hơn theo ngày (giảm noise), và đủ chi tiết để thấy spike do campaign. Đây là câu hỏi mở đầu mọi WBR (Weekly Business Review).","1. ""Tuần"" = gộp các ngày về thứ Hai đầu tuần → DATE_TRUNC('week', full_date).
2. Chỉ tính GMV trên đơn đã paid (chuẩn business).
3. GROUP BY tuần, SUM(total_amount).
4. ORDER BY gmv DESC để thấy top/bottom.","| week_start | gmv | order_cnt |
|---|---|---|
| 2024-04-01 | 3,214,500,000 | 14,230 |
| 2024-03-04 | 2,890,300,000 | 12,980 |
| 2024-02-12 | 1,105,200,000 | 5,430 *(tuần Tết)* |","- Quên WHERE payment_status = 'paid' → GMV phồng 15–20%.
- Dùng EXTRACT(WEEK FROM ...) trả về số tuần, khó dùng để sort theo thời gian.
- Group theo created_at (timestamp) → mỗi mili-giây là 1 group, sai hoàn toàn."
A2,A — Revenue / GMV trending,"Doanh thu tháng này vs tháng trước, tăng/giảm bao nhiêu %?",L2,"`LAG`, window, pivot bằng `FILTER`",15 phút,Month-over-month (MoM) growth là KPI cơ bản báo cho leadership. Biết cách dùng LAG là chìa khoá để không phải self-join thủ công.,"1. Aggregate GMV theo tháng.
2. Dùng LAG(gmv) OVER (ORDER BY month) để lấy tháng trước trên cùng dòng.
3. Tính (this - prev) / prev * 100.","| month | gmv | gmv_prev | mom_pct |
|---|---|---|---|
| 2024-02-01 | 8,900,000,000 | NULL | NULL |
| 2024-03-01 | 12,400,000,000 | 8,900,000,000 | 39.33 |
| 2024-04-01 | 10,800,000,000 | 12,400,000,000 | -12.90 |","- Thiếu ORDER BY trong window → kết quả không xác định.
- Chia cho 0 nếu gmv_prev = 0 → dùng NULLIF(gmv_prev, 0) phòng xa.
- Dùng LAG(gmv, 12) khi muốn YoY nhưng dataset chỉ 3 tháng → lúc nào cũng NULL."
A3,A — Revenue / GMV trending,**CASE: Tại sao GMV tháng 3 giảm 15% vs tháng 2?**,L4,"multi-CTE, decomposition",45–60 phút,"Đây là câu hỏi ""tại sao"" điển hình mà PM / BOD sẽ hỏi analyst. Phải biết phân rã thay vì trả lời một con số. Decomposition tree:","1. Xác nhận chênh lệch GMV thật sự bao nhiêu.
2. Tách GMV = orders × AOV. Số nào drop?
3. Nếu orders drop: customers × orders_per_customer. Mất khách hay khách mua ít?
4. Nếu AOV drop: do category shift (khách mua món rẻ hơn) hay discount rate tăng?
5. So theo cat1 để thấy ngành nào đóng góp nhất.",,"- Chỉ trả lời top-level mà không phân rã — mất điểm với PM.
- Dùng AVG(total_amount) để tính AOV theo tháng nhưng quên filter paid.
- Nhầm số: khi cat1 có mom_pct giảm nhiều nhất không đồng nghĩa đóng góp nhiều nhất về giá trị tuyệt đối. Dùng cả mom_pct và gmv_delta."
A4,A — Revenue / GMV trending,Daily GMV + 7-day moving average,L2,window frame `ROWS BETWEEN`,15 phút,MA7 làm phẳng noise cuối tuần vs ngày thường → nhìn trend thực tế rõ hơn. Luôn xuất hiện trên dashboard.,"1. Aggregate GMV ngày.
2. AVG(gmv) OVER (ORDER BY date ROWS BETWEEN 6 PRECEDING AND CURRENT ROW).","| dt | gmv | ma7 |
|---|---|---|
| 2024-02-01 | 280M | 280M |
| 2024-02-07 | 320M | 295M |
| 2024-03-03 | 820M | 410M *(Mega Sale spike)* |","- Quên ORDER BY → frame không xác định.
- Dùng RANGE BETWEEN '6 days' PRECEDING — chạy được nhưng phức tạp hơn ROWS."
A5,A — Revenue / GMV trending,Weekday vs weekend: GMV trung bình khác nhau ra sao?,L1,"JOIN dim_date, GROUP BY boolean",8 phút,"Dùng để plan stock, CS staffing, campaign timing.","GROUP BY is_weekend, tính GMV/ngày trung bình (chứ không phải tổng — để công bằng vì weekday có 5 ngày/tuần còn weekend có 2).","| is_weekend | n_days | avg_gmv_per_day |
|---|---|---|
| false | 64 | 285,000,000 |
| true  | 26 | 410,000,000 |","- So tổng thay vì trung bình → sai kết luận.
- Quên trừ holiday ra — holiday rơi vào weekday có thể lệch số."
A6,A — Revenue / GMV trending,Giờ nào trong ngày bán chạy nhất?,L2,"`EXTRACT(hour)`, timezone conversion",15 phút,"Peak hour quyết định: (1) push notification timing, (2) flash sale window, (3) CS staffing, (4) warehouse picking wave.","1. Convert created_at UTC → Asia/Ho_Chi_Minh trước khi lấy giờ.
2. EXTRACT(hour FROM ...) lấy 0–23.
3. GROUP BY giờ.","| hour_vn | orders | gmv | aov |
|---|---|---|---|
| 0 | 420 | 89M | 212k |
| 9 | 1,200 | 280M | 233k |
| 12 | 1,850 | 420M | 227k *(lunch peak)* |
| 21 | 2,900 | 680M | 234k *(prime time)* |","- Quên convert timezone → peak lệch.
- EXTRACT(hour) trên DATE sẽ báo lỗi — phải dùng timestamp."
A7,A — Revenue / GMV trending,YoY growth từng ngày (so với 3 tháng trước),L3,self-join theo date offset,25 phút,"Ở dataset 3 tháng không có YoY thực, nhưng bạn có thể thay bằng ""so với X ngày trước"" — kỹ năng giống hệt.","1. Aggregate daily GMV.
2. Self-join với offset 84 ngày (12 tuần) để so ngày ""cùng thứ"".
3. Tính % growth, lấy top 5.",,"- Subtract date - integer trả về date (OK), nhưng timestamp - integer lỗi — phải dùng INTERVAL.
- Chia cho 0 khi gmv cũ = 0."
A8,A — Revenue / GMV trending,**CASE: Báo cáo GMV đột biến (anomaly detection)**,L4,"statistical window, `STDDEV`, `AVG`",40 phút,"Business cần alert sớm khi GMV bất thường (có thể do bug tracking, sale không plan, hoặc outage). Analyst build rule đơn giản: |GMV - MA7| > 2 × STDDEV7 = spike/dip.","1. Tính GMV daily.
2. Cửa sổ 7 ngày: AVG và STDDEV.
3. Flag nếu lệch > 2σ, phân loại spike vs dip.
4. Join với dim_date để giải thích (sale day? holiday?).","| dt | gmv | ma7 | sd7 | z_score | anomaly | is_sale_day | is_holiday |
|---|---|---|---|---|---|---|---|
| 2024-02-10 | 95M | 250M | 22M | -7.05 | DIP | false | true *(Tết)* |
| 2024-03-03 | 820M | 310M | 30M | 17.0 | SPIKE | true | false |","- Window include ngày hiện tại → spike làm tăng mean, giảm độ nhạy detection.
- Dùng STDDEV (sample) vs STDDEV_POP — trong 7 điểm không khác biệt nhiều, chọn STDDEV mặc định.
- 2σ quá rộng với n=7 → thực tế nên dùng 2.5σ hoặc n=14. Đây là trade-off sensitivity vs noise."
B1,B — Customer lifecycle,Bao nhiêu khách mới (first_order) mỗi tháng?,L1,filter + GROUP BY,8 phút,New buyer count là KPI marketing. Growth team luôn cần biết kênh mới có kéo khách không.,"Filter is_first_order = TRUE, GROUP BY tháng.","| month | new_buyers |
|---|---|
| 2024-02-01 | 4,200 |
| 2024-03-01 | 5,800 |
| 2024-04-01 | 4,900 |","- Không dùng DISTINCT customer_id — nếu 1 khách có nhiều is_first_order=TRUE (bug ETL) thì đếm sai.
- Filter paid quan trọng: khách ""đặt đơn đầu rồi huỷ"" không tính là new buyer thật."
B2,B — Customer lifecycle,Top 10 khách chi tiêu nhiều nhất 3 tháng,L1,"GROUP BY, ORDER BY, LIMIT",5 phút,"VIP list cho CRM team (gửi voucher sinh nhật, tặng gift).",,,"- Dùng DISTINCT ON sai — ở đây không cần.
- Quên LIMIT → trả 50k dòng."
