Buổi,Tuần,Tháng,Chủ đề,Mục tiêu buổi học,Bài tập về nhà,Theme,Bài tập map
1,1,Tháng 1,Intro tool + dataset Shopee + SELECT cơ bản,"• Đăng nhập tool, làm quen UI (editor, schema browser, kết quả).
• Hiểu cấu trúc schema 'shopee' — phân biệt bảng fact (giao dịch) vs dim (master).
• Viết SELECT đơn giản với FROM, WHERE, LIMIT.
• Đọc số top-line cơ bản: COUNT(*) số đơn, SUM(total_amount) doanh thu.","• Nộp: viết 5 query SELECT trên fact_orders với filter khác nhau (status, payment_method, ngày).
• Coi trước: sheet 'Schema' — đọc kỹ dim_date, dim_customer, dim_product.
• Chuẩn bị: ghi chú 3 câu hỏi business muốn trả lời từ dataset.",—,—
2,1,Tháng 1,"ORDER BY, DISTINCT, operators","• Sort kết quả với ORDER BY ASC/DESC, sort theo nhiều cột.
• Loại trùng với DISTINCT, COUNT(DISTINCT col).
• Dùng các operator: IN, BETWEEN, LIKE, IS NULL.
• String functions cơ bản: LOWER, UPPER, TRIM, concat ||.","• Nộp: list top 20 đơn cao nhất theo total_amount.
• Nộp: list distinct payment_method và số đơn mỗi loại.
• Nộp: tìm shop có shop_name chứa từ 'Store' (case-insensitive).
• Coi trước: khái niệm aggregate (COUNT, SUM, AVG, MIN, MAX).",—,(luyện cú pháp)
3,2,Tháng 1,Aggregate functions,"• Phân biệt COUNT(*), COUNT(col), COUNT(DISTINCT col).
• Tính GMV (SUM total_amount), AOV (SUM/COUNT), max/min order.
• Hiểu khi nào dùng aggregate function nào cho metric biz.","• Nộp: Bài A1, A2 (sheet Bài tập). Lưu ý filter payment_status='paid' khi tính GMV.
• Coi trước: GROUP BY là gì, vì sao cần?",A,"A1, A2"
4,2,Tháng 1,GROUP BY + HAVING,"• GROUP BY 1 cột rồi nhiều cột.
• Phân biệt HAVING vs WHERE (filter trước/sau aggregate).
• GMV theo ngày/tuần/tháng — sơ lược DATE_TRUNC.","• Nộp: Bài A3, A4.
• Coi trước: khái niệm JOIN — vì sao cần JOIN nhiều bảng?",A,"A3, A4"
5,3,Tháng 1,INNER JOIN,"• Hiểu join là gì, vẽ Venn diagram.
• JOIN 2 bảng (fact_orders + dim_date), 3 bảng (orders + items + product).
• Dùng alias cho dễ đọc; ON condition đúng khoá.","• Nộp: Bài A5 (GMV theo cat1), Bài F1.
• Coi trước: LEFT JOIN khác INNER chỗ nào? Khi nào cần LEFT?","A, F","A5, F1"
6,3,Tháng 1,LEFT / RIGHT / FULL JOIN,"• Khi nào dùng LEFT vs INNER. NULL từ bên không match.
• Anti-join pattern: customer chưa từng mua, sản phẩm chưa bán.
• LEFT JOIN ... WHERE x IS NULL = NOT EXISTS.","• Nộp: Bài B1 (customer chưa quay lại), Bài F2 (sản phẩm bán chậm).
• Coi trước: query 5+ bảng — chiến lược tránh nhầm Cartesian.","B, F","B1, F2"
7,4,Tháng 1,Multi-table JOIN nâng cao,"• JOIN 4-5 bảng trong 1 query, alias rõ ràng.
• Decompose query phức tạp thành step nhỏ.
• Phát hiện + tránh Cartesian product (cardinality check).","• Nộp: Bài F3 (top SP theo cat), Bài K1 (GMV theo region).
• Chuẩn bị mini-project tháng 1: GMV weekly report.","F, K","F3, K1"
8,4,Tháng 1,Mini-project tháng 1: GMV Weekly Report,"• Tổng hợp SQL foundation đã học.
• Viết end-to-end report GMV weekly với MoM growth.
• Trình bày kết quả Google Sheets (paste TSV từ tool).","• Nộp: 1 query SQL + 1 trang Google Sheets phân tích insights.
• Coi trước: DATE_TRUNC, EXTRACT — chuẩn bị cho tháng 2.",A,"A6, A7, A8"
9,5,Tháng 2,"DATE_TRUNC, EXTRACT, INTERVAL","• DATE_TRUNC ('day', 'week', 'month', 'quarter') — group theo period.
• EXTRACT (DOW, HOUR, MONTH) — bóc thành phần.
• INTERVAL math: cộng/trừ ngày, tính tuổi đơn.
• Pattern theo giờ trong ngày: peak hour, dip hour.","• Nộp: Bài C1 (GMV theo giờ), C2 (GMV theo ngày trong tuần).
• Coi trước: WoW / MoM growth — cách so sánh kỳ với kỳ.",C,"C1, C2"
10,5,Tháng 2,"Time-series: WoW, MoM, YoY growth","• So sánh tuần này vs tuần trước (WoW), tháng vs tháng trước (MoM).
• Self-join trên dim_date để align period.
• Tăng trưởng tuyệt đối (Δ) vs tăng trưởng % (growth rate).","• Nộp: Bài C3, C4.
• Coi trước: subquery — query lồng nhau, IN / EXISTS.",C,"C3, C4"
